Player1,Player2,P1_Wins,P2_Wins
J3O,Q7S,0.0,2.0
T6S,97O,0.0,2.0
82O,A2O,0.0,2.0
74O,84S,0.0,2.0
43S,Q2O,2.0,0.0
K2O,J4O,2.0,0.0
K7S,86O,0.0,2.0
J8S,95S,2.0,0.0
T4S,53O,2.0,0.0
82O,52O,2.0,0.0
Q3O,A8O,2.0,0.0
A7O,AQO,2.0,0.0
87O,KQS,0.0,2.0
T7O,Q2O,2.0,0.0
JTO,J8O,2.0,0.0
KJO,T2O,2.0,0.0
JTO,K2O,2.0,0.0
T9O,Q5S,2.0,0.0
98O,54O,2.0,0.0
K6S,Q6S,2.0,0.0
A4O,77O,0.0,2.0
K8O,AQO,0.0,2.0
KKO,92O,2.0,0.0
QTO,95O,2.0,0.0
J7O,A2O,0.0,2.0
K5O,T3O,0.0,2.0
J5O,K8O,0.0,2.0
94O,77O,0.0,2.0
K4S,76S,2.0,0.0
A9O,K2S,0.0,2.0
K4O,T7O,2.0,0.0
Q9S,K5O,2.0,0.0
84O,T5S,2.0,0.0
J9O,93O,2.0,0.0
72S,K2S,0.0,2.0
T8O,AJS,0.0,2.0
JTO,93O,0.0,2.0
A4O,J6O,2.0,0.0
83O,KJS,0.0,2.0
T4O,95O,2.0,0.0
K4O,A4S,0.0,2.0
A2O,K7S,2.0,0.0
QTO,T9O,2.0,0.0
95O,33O,2.0,0.0
Q9O,T4O,2.0,0.0
74S,T2O,0.0,2.0
AQO,QJO,2.0,0.0
82O,JTO,0.0,2.0
94O,Q9S,0.0,2.0
53O,62O,0.0,2.0
97O,53S,2.0,0.0
Q8O,93O,2.0,0.0
J9O,96S,2.0,0.0
T3O,AKO,0.0,2.0
98S,98O,1.0,1.0
83O,T8O,2.0,0.0
K4S,T6O,2.0,0.0
96O,42O,0.0,2.0
88O,62O,2.0,0.0
J6S,K3O,0.0,2.0
94O,93O,2.0,0.0
J7O,K3O,0.0,2.0
K5S,QTO,0.0,2.0
32O,AQO,2.0,0.0
T9O,Q9O,0.0,2.0
Q3O,J7O,2.0,0.0
J7O,85O,2.0,0.0
Q6O,A2O,0.0,2.0
86O,54O,2.0,0.0
QTO,97O,2.0,0.0
KQO,JTO,0.0,2.0
J6O,53O,2.0,0.0
K7O,62S,0.0,2.0
92O,J2O,2.0,0.0
Q2O,52O,2.0,0.0
A9S,JTO,0.0,2.0
83O,96O,0.0,2.0
AQO,K5O,2.0,0.0
Q3O,ATO,0.0,2.0
QTO,TTO,0.0,2.0
AJS,84O,0.0,2.0
84O,KTS,0.0,2.0
JTO,K5S,2.0,0.0
T6O,32O,2.0,0.0
J2O,98O,0.0,2.0
92O,AAO,0.0,2.0
A8O,32S,2.0,0.0
A9O,KJS,2.0,0.0
76S,A8O,0.0,2.0
87O,52S,2.0,0.0
T9O,A7O,0.0,2.0
85O,K2O,2.0,0.0
T3O,J4O,0.0,2.0
53O,A3O,0.0,2.0
74O,QTO,2.0,0.0
Q2O,J8O,2.0,0.0
T8S,AQO,2.0,0.0
T9O,K8O,2.0,0.0
A5S,K8O,0.0,2.0
J3O,Q3S,0.0,2.0
86S,74S,2.0,0.0
A2O,75S,0.0,2.0
52O,T7O,0.0,2.0
72O,J3O,0.0,2.0
76O,AQO,0.0,2.0
76O,K8O,0.0,2.0
QJO,J6S,2.0,0.0
QTO,KTO,0.0,2.0
Q9O,K6O,0.0,2.0
42O,Q3O,2.0,0.0
J3O,55O,2.0,0.0
Q2S,JTO,2.0,0.0
K8S,93O,2.0,0.0
K4O,J6S,0.0,2.0
A7O,T4O,2.0,0.0
T4O,93S,2.0,0.0
Q9S,88O,2.0,0.0
T3O,96O,2.0,0.0
74O,Q6S,2.0,0.0
T9O,62O,2.0,0.0
T6O,ATO,0.0,2.0
75O,Q6S,0.0,2.0
AJO,Q4S,2.0,0.0
TTO,K9O,2.0,0.0
98O,43S,2.0,0.0
74S,96O,0.0,2.0
Q9O,43O,2.0,0.0
74O,KQO,0.0,2.0
A3O,Q9S,0.0,2.0
K7O,TTO,2.0,0.0
84O,A7O,0.0,2.0
T9O,86O,0.0,2.0
J6O,K5O,2.0,0.0
K9O,33O,2.0,0.0
22O,T5S,2.0,0.0
54S,Q6O,2.0,0.0
94S,Q2O,2.0,0.0
Q4S,T7O,0.0,2.0
66O,Q9S,0.0,2.0
T9O,Q7O,0.0,2.0
K7O,K4S,2.0,0.0
Q2O,97S,0.0,2.0
A4O,TTO,0.0,2.0
T3S,T2O,2.0,0.0
54O,J4O,2.0,0.0
83S,75O,2.0,0.0
A6S,Q6S,0.0,2.0
K4O,A8O,2.0,0.0
84O,K5O,0.0,2.0
T9O,AKO,0.0,2.0
97O,AAO,0.0,2.0
T8O,76O,2.0,0.0
